                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                0.79625,                0.49859,                 1.0441,                0.99895,                  0.975,                 0.9913,                0.75063,                 0.8439,                0.52873,                 1.2162,              0.0019663,              0.0019663,              0.0019663
                     36,                0.78461,                0.47926,                 1.0772,                0.98342,                  0.975,                0.99097,                0.75653,                0.85948,                0.55837,                 1.2024,              0.0019654,              0.0019654,              0.0019654
                     37,                0.83689,                 0.5271,                 1.0681,                0.78917,                 0.5125,                0.60599,                 0.3978,                 1.3348,                 2.0208,                 1.5654,              0.0019644,              0.0019644,              0.0019644
                     38,                0.79735,                0.48905,                 1.0612,                0.95923,                 0.9875,                 0.9928,                0.76302,                0.82365,                0.51999,                 1.1772,              0.0019634,              0.0019634,              0.0019634
                     39,                0.76855,                  0.495,                 1.0541,                0.97263,                 0.9875,                0.99178,                0.77569,                0.79698,                 0.4546,                  1.125,              0.0019624,              0.0019624,              0.0019624
                     40,                0.74642,                0.47108,                 1.0354,                0.98765,                0.99936,                0.99488,                0.76326,                0.84222,                0.44906,                 1.2066,              0.0019614,              0.0019614,              0.0019614
                     41,                0.76687,                0.53544,                 1.0714,                0.98718,                0.96266,                0.98919,                0.76202,                0.88165,                0.59569,                 1.1808,              0.0019604,              0.0019604,              0.0019604
                     42,                0.70638,                0.48231,                 1.0037,                0.97902,                  0.975,                0.99238,                0.75925,                0.86642,                0.45324,                 1.2456,              0.0019594,              0.0019594,              0.0019594
                     43,                0.74278,                0.49753,                 1.0512,                0.99675,                   0.95,                 0.9921,                0.72757,                0.88848,                0.57958,                 1.2679,              0.0019584,              0.0019584,              0.0019584
                     44,                0.75411,                0.49965,                 1.0256,                0.93534,                 0.9875,                0.98617,                0.70651,                0.93792,                0.53082,                 1.2481,              0.0019574,              0.0019574,              0.0019574
                     45,                0.70969,                0.46153,                 1.0091,                0.99689,                      1,                  0.995,                0.73828,                0.87679,                0.56985,                 1.3104,              0.0019564,              0.0019564,              0.0019564
                     46,                 0.7305,                0.44978,                 1.0227,                0.98488,                 0.9875,                0.99386,                0.75923,                0.79882,                0.47053,                 1.1746,              0.0019555,              0.0019555,              0.0019555
                     47,                0.75468,                 0.4879,                  1.014,                0.98509,                 0.9875,                0.99464,                0.78432,                0.80702,                 0.4492,                 1.1725,              0.0019545,              0.0019545,              0.0019545
                     48,                0.73219,                0.49182,                 1.0287,                0.97285,                      1,                0.99401,                 0.7407,                0.91323,                0.47154,                 1.2695,              0.0019535,              0.0019535,              0.0019535
                     49,                0.74461,                0.45931,                 1.0336,                0.98734,                0.97485,                0.99261,                0.76666,                 0.8073,                0.46747,                 1.1818,              0.0019525,              0.0019525,              0.0019525
                     50,                0.67749,                0.45217,                0.98644,                 0.9928,                 0.9875,                0.99488,                0.72794,                0.84184,                0.54203,                 1.2295,              0.0019515,              0.0019515,              0.0019515
                     51,                0.68632,                0.44876,                 1.0357,                      1,                0.99401,                  0.995,                0.77214,                0.83878,                0.47277,                  1.231,              0.0019505,              0.0019505,              0.0019505
                     52,                0.66724,                 0.4352,                 1.0017,                0.92569,                   0.95,                0.97044,                0.73428,                 0.9094,                0.52614,                 1.2628,              0.0019495,              0.0019495,              0.0019495
                     53,                0.67937,                0.44665,                 1.0165,                0.98759,                0.99495,                0.99463,                 0.7994,                 0.8126,                0.42273,                   1.22,              0.0019485,              0.0019485,              0.0019485
                     54,                0.67804,                0.42607,                0.99605,                0.98411,                      1,                0.99463,                0.80375,                0.76058,                0.43228,                 1.1163,              0.0019475,              0.0019475,              0.0019475
                     55,                0.70539,                0.45909,                 1.0272,                0.98931,                      1,                  0.995,                0.76717,                0.83702,                0.66452,                 1.2305,              0.0019465,              0.0019465,              0.0019465
                     56,                0.68515,                0.44642,                 1.0081,                      1,                0.99546,                  0.995,                0.78523,                0.79695,                0.65201,                 1.1951,              0.0019456,              0.0019456,              0.0019456
                     57,                0.67591,                 0.4385,                 0.9975,                0.99445,                      1,                  0.995,                0.75657,                0.83768,                 0.5119,                 1.2382,              0.0019446,              0.0019446,              0.0019446
                     58,                 0.6692,                0.41373,                0.97743,                0.99527,                      1,                  0.995,                0.73405,                0.90738,                0.47999,                   1.31,              0.0019436,              0.0019436,              0.0019436
                     59,                0.67517,                0.43355,                 1.0013,                0.99835,                      1,                  0.995,                0.75939,                0.89557,                  0.415,                 1.3447,              0.0019426,              0.0019426,              0.0019426
                     60,                0.69718,                0.42952,                 1.0157,                0.98608,                 0.9875,                 0.9944,                0.76181,                0.87271,                0.41739,                 1.3149,              0.0019416,              0.0019416,              0.0019416
                     61,                0.68364,                0.42531,                0.99671,                0.99629,                 0.9875,                0.99284,                0.70244,                 0.9568,                0.44613,                 1.3747,              0.0019406,              0.0019406,              0.0019406
                     62,                0.70518,                0.44252,                 1.0367,                0.96171,                 0.9875,                0.99428,                0.72689,                 0.8515,                0.45871,                 1.2602,              0.0019396,              0.0019396,              0.0019396
                     63,                 0.7173,                 0.4404,                 1.0193,                0.97874,                      1,                0.99414,                0.76751,                0.91046,                0.50594,                 1.2834,              0.0019386,              0.0019386,              0.0019386
                     64,                0.66434,                0.42404,                0.99607,                 0.9937,                      1,                  0.995,                0.77145,                0.83612,                0.42039,                 1.2002,              0.0019376,              0.0019376,              0.0019376
                     65,                0.66814,                0.41238,                0.98956,                 0.9854,                      1,                  0.995,                0.80219,                0.78596,                 0.4337,                 1.1715,              0.0019366,              0.0019366,              0.0019366
                     66,                0.69842,                0.46304,                0.99719,                0.99601,                      1,                  0.995,                0.78318,                0.83638,                0.42398,                 1.2426,              0.0019357,              0.0019357,              0.0019357
                     67,                0.66849,                0.41469,                  1.001,                0.99874,                      1,                  0.995,                0.75867,                0.85914,                0.39653,                 1.3127,              0.0019347,              0.0019347,              0.0019347
                     68,                0.62617,                0.41364,                0.94925,                0.99151,                      1,                  0.995,                0.77235,                  0.812,                0.44641,                 1.2144,              0.0019337,              0.0019337,              0.0019337
                     69,                0.66333,                 0.4273,                0.99021,                0.98747,                0.98529,                0.99451,                0.79211,                0.79687,                 0.3933,                 1.2128,              0.0019327,              0.0019327,              0.0019327
                     70,                  0.682,                0.42043,                 1.0042,                0.99688,                 0.9875,                0.99464,                0.79668,                 0.8025,                0.40388,                 1.1941,              0.0019317,              0.0019317,              0.0019317
                     71,                0.66987,                0.41313,                0.97229,                      1,                0.99833,                  0.995,                0.76252,                0.86618,                0.41871,                  1.212,              0.0019307,              0.0019307,              0.0019307
                     72,                0.68083,                0.43132,                0.98676,                0.97533,                0.98833,                0.99463,                 0.8047,                0.75517,                0.40543,                 1.1279,              0.0019297,              0.0019297,              0.0019297
                     73,                0.66061,                0.45205,                0.99158,                0.99824,                      1,                  0.995,                0.80508,                0.73498,                0.37173,                 1.0928,              0.0019287,              0.0019287,              0.0019287
                     74,                0.64659,                0.40052,                0.99012,                0.99803,                      1,                  0.995,                0.82292,                0.70997,                0.36791,                 1.1006,              0.0019277,              0.0019277,              0.0019277
                     75,                0.63393,                0.41342,                0.97269,                0.99896,                      1,                  0.995,                0.79734,                0.72814,                0.37085,                 1.1409,              0.0019267,              0.0019267,              0.0019267
                     76,                0.63703,                0.41843,                0.99012,                0.99801,                      1,                  0.995,                0.77032,                0.79862,                0.41083,                 1.1543,              0.0019258,              0.0019258,              0.0019258
                     77,                0.63473,                0.41001,                0.95744,                0.99794,                      1,                  0.995,                0.78709,                0.78309,                0.37855,                 1.2079,              0.0019248,              0.0019248,              0.0019248
                     78,                0.61847,                0.39541,                0.98042,                0.99875,                      1,                  0.995,                0.78294,                0.83703,                0.40337,                  1.231,              0.0019238,              0.0019238,              0.0019238
                     79,                0.64031,                0.41171,                0.98317,                0.99827,                      1,                  0.995,                0.78261,                0.84332,                 0.3913,                 1.2668,              0.0019228,              0.0019228,              0.0019228
                     80,                 0.6416,                0.40725,                0.97556,                0.97254,                      1,                 0.9917,                0.78287,                0.84114,                0.41786,                 1.2487,              0.0019218,              0.0019218,              0.0019218
                     81,                0.62945,                0.40285,                0.96486,                0.96754,                 0.9875,                0.98715,                0.75364,                0.82077,                0.46344,                 1.2616,              0.0019208,              0.0019208,              0.0019208
                     82,                0.63538,                 0.4076,                0.99275,                0.98394,                      1,                  0.995,                0.75717,                0.85114,                0.39855,                 1.3123,              0.0019198,              0.0019198,              0.0019198
                     83,                0.62839,                0.38583,                0.96447,                0.99809,                      1,                  0.995,                0.75643,                0.90883,                0.41372,                 1.2713,              0.0019188,              0.0019188,              0.0019188
                     84,                0.63142,                0.39394,                0.96546,                0.99633,                      1,                  0.995,                0.72269,                0.91968,                 0.4485,                 1.2761,              0.0019178,              0.0019178,              0.0019178
                     85,                0.64737,                 0.4178,                0.96802,                0.98753,                0.98969,                0.99488,                0.76581,                0.78608,                0.45177,                 1.1716,              0.0019168,              0.0019168,              0.0019168
                     86,                0.61393,                0.38062,                0.94892,                0.99109,                      1,                  0.995,                0.78407,                0.74649,                0.38182,                   1.15,              0.0019159,              0.0019159,              0.0019159
                     87,                 0.6386,                0.40487,                0.97451,                0.97506,                  0.975,                0.99401,                0.77205,                0.77207,                0.46517,                 1.1984,              0.0019149,              0.0019149,              0.0019149
                     88,                0.65367,                0.40721,                  0.963,                0.99149,                 0.9625,                0.99336,                0.77118,                0.84959,                0.48116,                 1.2327,              0.0019139,              0.0019139,              0.0019139
                     89,                 0.6329,                0.38411,                 0.9784,                0.99722,                      1,                  0.995,                0.77435,                0.81096,                0.37929,                 1.2228,              0.0019129,              0.0019129,              0.0019129
                     90,                0.59902,                0.37911,                0.95829,                0.99829,                      1,                  0.995,                0.77103,                0.78496,                0.40365,                 1.1974,              0.0019119,              0.0019119,              0.0019119
                     91,                0.61909,                0.41464,                0.94975,                0.93872,                 0.9875,                 0.9932,                 0.7753,                0.78128,                0.48907,                 1.2013,              0.0019109,              0.0019109,              0.0019109
                     92,                0.63992,                0.40946,                0.98819,                0.98502,                 0.9875,                0.99476,                0.78678,                0.78722,                0.42753,                 1.1706,              0.0019099,              0.0019099,              0.0019099
                     93,                0.61128,                0.39213,                0.96214,                0.97342,                      1,                0.99375,                0.74197,                 0.8866,                0.41153,                 1.2641,              0.0019089,              0.0019089,              0.0019089
                     94,                0.56845,                0.37822,                0.93595,                0.96889,                0.77866,                0.89977,                0.64481,                 1.1479,                0.75932,                   1.32,              0.0019079,              0.0019079,              0.0019079
                     95,                0.62265,                0.39337,                0.97429,                0.99793,                      1,                  0.995,                0.81658,                0.72664,                0.34979,                 1.1293,              0.0019069,              0.0019069,              0.0019069
                     96,                0.61555,                 0.3743,                0.95753,                0.99108,                 0.9875,                 0.9943,                0.79857,                0.75503,                0.39043,                 1.1017,               0.001906,               0.001906,               0.001906
                     97,                0.58839,                0.37947,                0.94882,                0.99643,                 0.9875,                0.99441,                0.78311,                0.77214,                0.41891,                 1.1502,               0.001905,               0.001905,               0.001905
                     98,                0.60142,                0.36971,                0.97427,                0.98677,                 0.9875,                0.99463,                0.78077,                0.82515,                0.37529,                  1.178,               0.001904,               0.001904,               0.001904
                     99,                0.56555,                0.35896,                0.95172,                 0.9876,                0.99596,                0.99463,                0.75009,                0.91171,                0.45388,                 1.3131,               0.001903,               0.001903,               0.001903
                    100,                 0.6011,                0.38465,                0.96214,                0.99387,                      1,                  0.995,                0.78261,                0.85733,                0.38509,                 1.2852,               0.001902,               0.001902,               0.001902
                    101,                0.60267,                0.36826,                 0.9771,                0.99095,                 0.9875,                0.99476,                0.78979,                0.85076,                 0.3927,                 1.2262,               0.001901,               0.001901,               0.001901
                    102,                0.59218,                0.40028,                0.96249,                      1,                0.96074,                  0.991,                0.77237,                0.87077,                0.39189,                 1.2842,                 0.0019,                 0.0019,                 0.0019
                    103,                0.62567,                0.38173,                0.98634,                0.98815,                 0.9875,                0.99342,                0.77661,                0.84676,                0.37408,                 1.2527,               0.001899,               0.001899,               0.001899
                    104,                0.64143,                0.38135,                0.98084,                0.98682,                      1,                0.99488,                0.78769,                0.87091,                0.37705,                 1.2588,               0.001898,               0.001898,               0.001898
                    105,                0.64168,                0.39964,                 0.9761,                0.98573,                 0.9875,                0.99464,                0.77374,                0.83936,                0.40233,                 1.2427,               0.001897,               0.001897,               0.001897
                    106,                0.57302,                0.37807,                0.92836,                0.99181,                      1,                  0.995,                0.79521,                0.79964,                0.37709,                  1.176,              0.0018961,              0.0018961,              0.0018961
                    107,                0.61152,                0.37923,                0.95157,                0.99769,                      1,                  0.995,                0.80173,                0.73028,                0.37426,                 1.1205,              0.0018951,              0.0018951,              0.0018951
                    108,                0.60262,                0.41152,                0.96045,                0.98529,                      1,                  0.995,                0.78325,                0.76708,                0.42627,                 1.2097,              0.0018941,              0.0018941,              0.0018941
                    109,                 0.5831,                0.37908,                0.97122,                0.98729,                      1,                  0.995,                0.77792,                0.79414,                0.43103,                 1.2192,              0.0018931,              0.0018931,              0.0018931
                    110,                0.60266,                  0.375,                0.94974,                0.99897,                      1,                  0.995,                 0.7576,                0.80781,                0.37073,                  1.209,              0.0018921,              0.0018921,              0.0018921
                    111,                0.59147,                0.37278,                0.93573,                0.99827,                      1,                  0.995,                0.77466,                0.80064,                0.36358,                 1.1748,              0.0018911,              0.0018911,              0.0018911
                    112,                0.59163,                0.34925,                0.94704,                0.99878,                      1,                  0.995,                 0.7918,                 0.7649,                0.35616,                 1.2027,              0.0018901,              0.0018901,              0.0018901
                    113,                0.60583,                0.35088,                0.94142,                0.99899,                      1,                  0.995,                 0.7872,                0.83487,                0.35895,                 1.2351,              0.0018891,              0.0018891,              0.0018891
                    114,                0.58833,                0.35033,                0.94642,                0.99835,                      1,                  0.995,                0.81475,                0.76116,                0.35442,                 1.1933,              0.0018881,              0.0018881,              0.0018881
                    115,                 0.5849,                0.36144,                0.95316,                0.99817,                      1,                  0.995,                0.78196,                0.80718,                0.36476,                  1.204,              0.0018871,              0.0018871,              0.0018871
                    116,                0.61018,                0.38242,                0.94559,                0.99883,                      1,                  0.995,                0.78925,                0.82512,                0.36564,                 1.1788,              0.0018862,              0.0018862,              0.0018862
                    117,                0.54791,                0.34455,                0.91652,                0.99628,                      1,                  0.995,                0.80116,                0.80907,                0.37086,                 1.2251,              0.0018852,              0.0018852,              0.0018852
                    118,                0.55071,                0.35624,                 0.9188,                0.98671,                 0.9875,                0.99034,                0.75155,                0.91694,                0.39229,                 1.3228,              0.0018842,              0.0018842,              0.0018842
                    119,                0.58102,                0.36176,                 0.9505,                0.98684,                 0.9875,                0.98915,                0.77864,                0.85897,                0.36414,                 1.2807,              0.0018832,              0.0018832,              0.0018832
                    120,                0.57362,                0.36898,                0.95173,                0.98197,                 0.9875,                0.99178,                0.78807,                0.78597,                0.38191,                 1.2459,              0.0018822,              0.0018822,              0.0018822
                    121,                0.56963,                0.35083,                0.93026,                0.98655,                      1,                0.99488,                0.78134,                0.79239,                0.39031,                 1.2417,              0.0018812,              0.0018812,              0.0018812
                    122,                0.58281,                0.35837,                 0.9462,                 0.9999,                      1,                  0.995,                0.80027,                0.77962,                 0.3553,                 1.2111,              0.0018802,              0.0018802,              0.0018802
                    123,                0.56874,                0.36807,                0.94455,                0.99682,                      1,                  0.995,                0.80582,                0.81128,                0.36206,                 1.2231,              0.0018792,              0.0018792,              0.0018792
                    124,                0.58297,                0.35619,                0.92855,                0.99739,                      1,                  0.995,                0.77699,                0.83993,                0.35843,                   1.27,              0.0018782,              0.0018782,              0.0018782
